Day,Demand,Supply,Cumulative_Demand,Cumulative_Supply
1,107,81,107,81
2,97,101,204,182
3,109,103,313,285
4,122,93,435,378
5,96,106,531,484
6,96,118,627,602
7,123,147,750,749
8,111,113,861,862
9,92,115,953,977
10,108,108,1061,1085
11,93,71,1154,1156
12,93,109,1247,1265
13,103,111,1350,1376
14,71,159,1421,1535
15,74,106,1495,1641
16,91,116,1586,1757
17,84,109,1670,1866
18,104,86,1774,1952
19,86,132,1860,2084
20,78,125,1938,2209
21,121,125,2059,2334
22,96,91,2155,2425
23,101,138,2256,2563
24,78,81,2334,2644
25,91,121,2425,2765
26,101,153,2526,2918
27,82,90,2608,3008
28,105,98,2713,3106
29,90,111,2803,3217
30,95,99,2898,3316
31,90,78,2988,3394
32,127,111,3115,3505
33,99,88,3214,3593
34,84,119,3298,3712
35,112,91,3410,3803
36,81,140,3491,3943
37,103,94,3594,4037
38,70,103,3664,4140
39,80,126,3744,4266
40,102,85,3846,4351
41,111,114,3957,4465
42,102,136,4059,4601
43,98,77,4157,4678
44,95,113,4252,4791
45,77,115,4329,4906
46,89,125,4418,5031
47,93,85,4511,5116
48,115,83,4626,5199
49,105,120,4731,5319
50,73,115,4804,5434
51,104,115,4908,5549
52,94,116,5002,5665
53,89,96,5091,5761
54,109,114,5200,5875
55,115,115,5315,5990
56,113,95,5428,6085
57,87,147,5515,6232
58,95,119,5610,6351
59,104,86,5714,6437
60,114,123,5828,6560
61,92,90,5920,6650
62,97,125,6017,6775
63,83,133,6100,6908
64,82,93,6182,7001
65,112,129,6294,7130
66,120,118,6414,7248
67,98,126,6512,7374
68,115,147,6627,7521
69,105,105,6732,7626
70,90,94,6822,7720
71,105,92,6927,7812
72,123,93,7050,7905
73,99,108,7149,8013
74,123,116,7272,8129
75,60,115,7332,8244
76,112,126,7444,8370
77,101,110,7545,8480
78,95,139,7640,8619
79,101,104,7741,8723
80,70,164,7811,8887
81,96,122,7907,9009
82,105,92,8012,9101
83,122,88,8134,9189
84,92,119,8226,9308
85,87,105,8313,9413
86,92,124,8405,9537
87,113,119,8518,9656
88,104,108,8622,9764
89,92,93,8714,9857
90,107,79,8821,9936
91,101,101,8922,10037
92,114,127,9036,10164
93,89,114,9125,10278
94,95,85,9220,10363
95,94,113,9314,10476
96,78,117,9392,10593
97,104,92,9496,10685
98,103,113,9599,10798
99,100,111,9699,10909
100,96,87,9795,10996
